,Cumulative theta,Abs Cumulative Theta,Cumulative logfc,Abs Cumulative logfc,tau2,pval.adj,theta_GSE143752,theta_GSE186835,theta_GSE287994,theta_GSE99511,sp2_GSE143752,sp2_GSE186835,sp2_GSE287994,sp2_GSE99511
PIGY,-0.734628,0.734628,-0.025486,0.025486,0.078129,0.000003,-0.111079,-0.157645,-0.500389,-1.192482,0.228508,2.410901,0.210808,0.070718
CPEB2,0.733218,0.733218,0.093661,0.093661,0.000000,0.000111,0.152323,0.551955,0.581924,0.929830,0.612379,2.320357,0.439960,0.143451
TOM1,0.732485,0.732485,0.132198,0.132198,0.000000,0.007663,0.133901,0.150470,-0.072415,0.812013,0.983255,1.179763,2.044171,0.053165
GPR63,0.731879,0.731879,0.179749,0.179749,0.000000,0.001126,0.217348,0.262217,0.171290,0.937594,0.823639,0.824335,0.950640,0.115301
ANXA4,-0.729869,0.729869,-0.024675,0.024675,0.280826,0.009284,-0.128240,-0.172341,-0.458103,-1.529015,0.191628,1.387866,0.100633,0.063639
LRRC58,-0.729102,0.729102,-0.060664,0.060664,0.046386,0.000000,-0.566145,-0.081126,-0.230578,-1.040751,0.106716,0.989378,0.166805,0.030977
SHMT1,0.726718,0.726718,0.032733,0.032733,0.223984,0.000473,0.059180,-0.038467,0.196984,1.411018,0.550841,1.249137,0.370153,0.077130
SDCBP2,-0.726348,0.726348,-0.077992,0.077992,0.000000,0.000000,-0.298513,-0.078930,-0.488121,-1.104384,0.260202,3.215898,0.264720,0.137694
PARK2,-0.726090,0.726090,-0.116862,0.116862,0.175005,0.000000,-0.204463,-0.065804,-0.172570,-1.320092,0.569225,0.497343,0.468972,0.058625
BTG3,-0.725423,0.725423,0.072922,0.072922,0.083539,0.000063,0.101250,0.049573,0.021103,-1.109252,0.717284,0.599197,1.856082,0.066847
TRAK2,-0.724760,0.724760,-0.057999,0.057999,0.199217,0.000011,-0.454114,0.482713,-0.487399,-1.296682,0.127198,0.921265,0.301212,0.040975
PLAGL1,-0.722693,0.722693,-0.067420,0.067420,0.074450,0.000048,-0.123980,0.099787,-1.213658,-0.365385,0.541580,5.162235,0.080238,0.100278
DHH,0.722679,0.722679,0.046136,0.046136,0.060851,0.000223,0.595405,-0.444004,0.199968,1.069992,0.077171,0.960485,0.485148,0.054086
ACP1,0.712828,0.712828,0.094611,0.094611,0.000000,0.008582,0.168618,-0.104511,0.276723,1.029934,0.558807,3.262019,0.886698,0.184765
VPS39,-0.712262,0.712262,-0.090854,0.090854,0.000000,0.000000,-0.428548,-0.109712,-0.852176,-0.409015,0.211138,6.248593,0.069827,0.538103
NAA50,0.712162,0.712162,0.034328,0.034328,0.171677,0.000000,0.121279,0.509160,0.267742,1.347809,0.281892,0.094750,0.457299,0.057694
C7orf36,-0.711972,0.711972,-0.045898,0.045898,0.476740,0.000000,-0.133780,-0.071904,-0.251027,-1.718009,0.341688,0.621171,0.257351,0.047957
GMPPA,0.710999,0.710999,0.043539,0.043539,0.441445,0.000000,0.476842,0.102848,0.305962,1.689424,0.090935,0.236359,0.095736,0.026461
CHCHD7,-0.710359,0.710359,-0.044593,0.044593,0.000000,0.003337,-0.069269,-0.187485,0.053287,-0.846184,0.641141,1.823134,1.142169,0.069465
CYP4V2,-0.706034,0.706034,-0.094294,0.094294,0.577967,0.000000,-0.228546,0.265943,0.240000,-1.738774,0.410898,1.449357,0.851329,0.057882
RHEB,0.705995,0.705995,0.139715,0.139715,0.000000,0.000265,0.058356,0.855407,-0.047315,0.613932,2.384401,0.155963,3.292228,0.201199
